source_ip,destination_ip,source_port,destination_port,protocol,length
10.229.231.82,10.217.59.13,65524,21,ICMP,1414
10.13.22.208,10.163.66.114,27043,53,ICMP,398
10.56.118.189,10.198.137.94,63050,443,TCP,371
10.128.80.98,10.5.17.44,41270,22,TCP,1315
10.10.172.6,10.163.210.67,59906,443,TCP,1244
10.245.62.4,10.126.210.68,6294,25,ICMP,977
10.85.113.38,10.33.186.167,10259,110,ICMP,845
10.231.64.226,10.124.133.167,44429,123,TCP,1176
10.169.165.4,10.246.181.212,58689,123,TCP,496
10.205.185.180,10.144.35.208,30179,22,TCP,143
10.210.209.34,10.199.226.145,40289,22,UDP,1009
10.200.247.214,10.197.26.166,32188,123,ICMP,93
10.22.126.64,10.54.214.20,55366,110,UDP,854
10.169.203.215,10.123.54.1,48580,53,TCP,1323
10.71.212.16,10.3.230.175,19891,443,TCP,575
10.168.90.222,10.198.49.108,45654,53,UDP,726
10.51.69.22,10.186.55.102,10243,21,ICMP,719
10.116.129.69,10.118.96.37,47823,443,TCP,1344
10.204.189.156,10.173.6.76,3470,53,TCP,1262
10.29.155.199,10.201.249.190,37456,22,ICMP,1142
10.154.47.127,10.248.1.88,58395,53,TCP,999
10.27.106.249,10.71.223.253,34663,80,TCP,130
10.9.19.186,10.20.153.49,57381,80,TCP,1397
10.213.78.121,10.46.56.50,54130,80,UDP,419
10.42.121.197,10.167.153.195,43002,22,TCP,1376
10.15.110.129,10.45.177.100,29621,21,TCP,889
10.90.112.4,10.2.231.186,60534,53,UDP,74
10.28.42.194,10.192.141.189,13552,22,UDP,1011
10.200.37.238,10.5.98.16,36120,443,UDP,603
10.84.19.237,10.179.251.82,3743,25,TCP,1376
10.208.84.226,10.220.144.153,42807,22,ICMP,1473
10.88.105.172,10.210.59.216,3715,80,ICMP,1062
10.23.248.37,10.40.122.71,63339,53,ICMP,1114
10.15.146.217,10.61.76.223,6559,110,UDP,640
10.132.168.158,10.74.195.120,5971,123,ICMP,1465
10.61.100.118,10.161.145.62,61609,53,TCP,905
10.68.162.234,10.208.115.109,41711,21,ICMP,834
10.238.136.84,10.170.177.49,52801,25,TCP,580
10.171.147.193,10.232.67.187,59154,53,TCP,1275
10.59.62.217,10.179.117.166,28930,443,TCP,696
10.180.158.104,10.106.37.157,16901,25,UDP,989
10.6.64.24,10.207.47.52,64714,443,ICMP,975
10.204.5.192,10.80.246.158,5712,443,UDP,539
10.189.227.237,10.213.32.80,20209,443,TCP,1038
10.163.28.87,10.153.28.69,47469,25,TCP,616
10.49.91.102,10.35.33.28,23152,123,ICMP,783
10.159.0.95,10.5.118.55,29327,443,TCP,638
10.32.248.245,10.196.31.243,2388,123,UDP,580
10.193.59.159,10.222.108.35,8928,110,UDP,1380
10.190.174.36,10.44.2.27,18883,21,TCP,745
10.138.238.184,10.241.72.191,21592,443,ICMP,945
10.163.27.129,10.152.174.65,52416,110,UDP,242
10.127.125.93,10.35.234.86,7402,21,UDP,1024
10.145.72.207,10.111.1.15,15964,443,TCP,428
10.243.12.76,10.255.12.178,9739,123,UDP,445
10.161.94.4,10.181.250.83,44550,53,ICMP,1214
10.235.165.171,10.107.116.122,55391,443,UDP,1319
10.150.214.116,10.158.21.219,15365,25,UDP,702
10.135.94.232,10.131.130.208,8090,53,TCP,798
10.84.241.159,10.3.232.210,40722,123,UDP,1480
10.80.54.253,10.162.231.42,21254,443,TCP,1431
10.136.24.196,10.187.99.34,62051,21,TCP,337
10.232.51.209,10.52.42.148,27474,25,UDP,1260
10.33.77.234,10.122.28.235,8001,80,ICMP,807
10.4.224.28,10.66.220.6,20166,22,UDP,536
10.179.177.229,10.47.74.61,60008,80,TCP,1423
10.103.162.163,10.142.114.24,18928,123,ICMP,1150
10.22.110.124,10.179.252.173,18514,25,ICMP,728
10.182.99.148,10.209.224.223,59801,80,TCP,421
10.228.55.95,10.0.33.114,65201,21,ICMP,559
10.237.225.50,10.160.229.141,3306,443,TCP,577
10.169.223.85,10.81.93.74,34946,53,UDP,1029
10.120.252.52,10.165.154.72,11783,110,ICMP,635
10.78.223.144,10.244.61.142,18922,443,ICMP,291
10.173.72.8,10.238.14.64,32256,123,UDP,1341
10.68.231.48,10.131.59.45,18241,22,TCP,503
10.179.71.109,10.173.206.186,43139,21,ICMP,1271
10.46.238.157,10.50.4.96,55072,53,UDP,1235
