Network Rules Log
Generated: 24/05/2025 1:55:22 pm
=================================
[Rule: Allow Corp Web HTTPS]
  Source: ANY:-1
  Destination: 10.0.1.0/24:443
  Protocol: TCP
  Action: ALLOW
  Priority: 50
---------------------------------
[Rule: Allow Corp Web HTTP]
  Source: ANY:-1
  Destination: 10.0.1.0/24:80
  Protocol: TCP
  Action: ALLOW
  Priority: 40
---------------------------------
[Rule: Allow FTP (Work Hours)]
  Source: ANY:-1
  Destination: ANY:62774
  Protocol: TCP
  Action: ALLOW
  Priority: 30
---------------------------------
[Rule: Block Bad Site]
  Source: ANY:-1
  Destination: 6.6.6.6:-1
  Protocol: ANY
  Action: DENY
  Priority: 100
---------------------------------
[Rule: Override Block Bad Site]
  Source: ANY:-1
  Destination: 6.6.6.6:-1
  Protocol: ANY
  Action: ALLOW
  Priority: 110
---------------------------------
[Rule: Log All Web to Corp]
  Source: ANY:-1
  Destination: 10.0.1.0/24:443
  Protocol: TCP
  Action: LOG
  Priority: 45
---------------------------------
[Rule: Allow Local DNS]
  Source: ANY:-1
  Destination: ANY:53
  Protocol: UDP
  Action: ALLOW
  Priority: 60
---------------------------------
[Rule: Allow Local DNS]
  Source: ANY:-1
  Destination: ANY:53
  Protocol: TCP
  Action: ALLOW
  Priority: 60
---------------------------------
[Rule: Allow DHCP]
  Source: ANY:68
  Destination: ANY:67
  Protocol: UDP
  Action: ALLOW
  Priority: 70
---------------------------------
[Rule: New Rule 10]
  Source: ANY:-1
  Destination: ANY:-1
  Protocol: TCP
  Action: DENY
  Priority: 50
---------------------------------
Sat May 24 16:16:57 2025 - SrcIP: 192.168.100.71, DstIP: 140.82.112.21, SrcPort: 52309, DstPort: 443, Proto: TCP - Action: DENY
Sat May 24 16:16:58 2025 - SrcIP: 4.237.22.41, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52312, Proto: TCP - Action: DENY
Sat May 24 16:16:59 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24580, DstPort: 34824, Proto: OTHER - Action: DENY
Sat May 24 16:17:00 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24580, DstPort: 34824, Proto: OTHER - Action: DENY
Sat May 24 16:17:02 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24580, DstPort: 34824, Proto: OTHER - Action: DENY
Sat May 24 16:17:06 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24580, DstPort: 34824, Proto: OTHER - Action: DENY
Sat May 24 16:17:07 2025 - SrcIP: 192.168.100.71, DstIP: 20.42.72.131, SrcPort: 52303, DstPort: 443, Proto: TCP - Action: DENY
Sat May 24 16:17:08 2025 - SrcIP: 192.168.100.71, DstIP: 20.42.72.131, SrcPort: 52303, DstPort: 443, Proto: TCP - Action: DENY
Sat May 24 16:17:13 2025 - SrcIP: 192.168.100.12, DstIP: 192.168.100.255, SrcPort: 138, DstPort: 138, Proto: UDP - Action: DENY
Sat May 24 16:17:14 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24580, DstPort: 34824, Proto: OTHER - Action: DENY
Sat May 24 16:18:13 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24580, DstPort: 34824, Proto: OTHER - Action: DENY
Sat May 24 16:18:14 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24580, DstPort: 34824, Proto: OTHER - Action: DENY
Sat May 24 16:18:16 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24580, DstPort: 34824, Proto: OTHER - Action: DENY
Sat May 24 16:18:18 2025 - SrcIP: 4.237.22.41, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52312, Proto: TCP - Action: DENY
Sat May 24 16:18:19 2025 - SrcIP: 192.168.100.71, DstIP: 52.182.143.210, SrcPort: 52318, DstPort: 443, Proto: TCP - Action: DENY
