ID,Name,Source,Destination,Src Port,Dest Port,Protocol,Action,Priority,Time
1,Allow HTTPS,172.16.0.0/16,10.0.1.0/24,-1,-1,UDP,LOG,37,0..23
2,Block Telnet,172.16.0.0/16,192.168.100.0/24,-1,25,TCP,LOG,76,0..23
3,Log FTP,10.0.0.0/8,6.6.6.6,-1,53,TCP,LOG,18,18..6
4,Allow DNS,172.16.0.0/16,8.8.8.8,-1,443,TCP,DENY,95,
5,Block SSH,192.168.1.0/24,10.0.1.0/24,-1,-1,UDP,DENY,43,0..23
6,Allow Mail,192.168.1.0/24,192.168.100.0/24,-1,443,TCP,LOG,38,9..17
7,Deny ICMP,172.16.0.0/16,8.8.8.8,-1,445,UDP,DENY,64,
8,Log Admin Access,172.16.0.0/16,ANY,-1,443,ANY,ALLOW,79,9..17
9,Allow Web,192.168.1.0/24,ANY,-1,3389,TCP,ALLOW,28,0..23
10,Block Malware Site,10.0.0.0/8,192.168.100.0/24,-1,0,UDP,LOG,44,
11,Allow Corp Apps,10.0.0.0/8,8.8.8.8,-1,25,UDP,DENY,18,0..23
12,Deny External Access,10.0.0.0/8,8.8.8.8,-1,445,UDP,LOG,74,
13,Log Intranet,172.16.0.0/16,10.0.1.0/24,-1,3389,UDP,DENY,97,9..17
14,Block Spam,192.168.1.0/24,192.168.100.0/24,-1,3389,UDP,LOG,89,0..23
15,Allow Backup,172.16.0.0/16,10.0.1.0/24,-1,0,UDP,ALLOW,11,0..23
16,Log Developer Traffic,192.168.1.0/24,6.6.6.6,-1,22,ANY,DENY,65,0..23
17,Allow Streaming,172.16.0.0/16,8.8.8.8,-1,80,UDP,DENY,28,18..6
18,Block P2P,172.16.0.0/16,ANY,-1,22,ANY,ALLOW,85,18..6
19,Allow VPN,10.0.0.0/8,8.8.8.8,-1,443,UDP,LOG,68,0..23
20,Log DNS Queries,172.16.0.0/16,10.0.1.0/24,-1,53,TCP,LOG,38,18..6
21,Allow SMB,172.16.0.0/16,10.0.1.0/24,-1,443,ANY,LOG,25,18..6
22,Block RDP,192.168.1.0/24,6.6.6.6,-1,53,UDP,LOG,100,0..23
23,Allow Git,172.16.0.0/16,8.8.8.8,-1,445,TCP,DENY,43,9..17
24,Block Gaming,10.0.0.0/8,6.6.6.6,-1,80,ANY,LOG,92,9..17
25,Allow HTTP,ANY,10.0.1.0/24,-1,443,ANY,DENY,71,0..23
26,New Rule 26,ANY,ANY,-1,-1,TCP,ALLOW,100,
27,New Rule 27,ANY,ANY,-1,-1,UDP,ALLOW,100,
